k	a	set	resolving?
7	2	0001111,0110110,0111001,1000010,1011111,1111110	True
7	2	0000101,0001111,0101101,1001000,1100011,1101100	True
7	2	0000101,0001111,0101011,0110110,1001011,1110101	True
7	2	0011001,0110001,1010111,1011101,1101011,1111010	True
7	2	0001110,0010011,1000110,1001100,1101011,1110111	True
7	2	0010100,0111110,1000101,1011010,1111000,1111001	True
7	2	0001010,0100000,0101101,0110100,0110101,1000100	True
7	2	0000100,0100111,1000111,1001110,1010110,1011011	True
7	2	0010001,0110000,1000000,1011010,1101100,1110011	True
7	2	0001101,0001110,0101000,1001100,1011001,1110111	True
7	2	0010111,0100011,0110000,0110110,0111011,1000011	True
7	2	0010100,0100110,0111110,1010111,1011010,1110110	True
7	2	0010100,0100010,0111001,1010111,1100100,1110001	True
7	2	0010110,0011100,0100101,0110100,0111001,1000101	True
7	2	0001001,0100000,0101001,0110011,1111000,1111010	True
7	2	0010101,0100001,1000000,1001001,1001110,1011011	True
7	2	0011011,0100011,0101000,0110100,1001111,1101010	True
7	2	0000001,0010010,0010111,1000001,1000110,1011101	True
7	2	0110010,1000010,1000100,1011110,1011111,1110000	True
7	2	0001001,0101011,0110001,1010011,1100110,1101101	True
7	2	0001100,0100101,1001000,1100011,1100110,1101111	True
7	2	0001110,0100110,0101011,0101101,1000010,1111101	True
7	2	0000010,0011000,0110100,0111101,1011110,1110001	True
7	2	0011001,0011101,0101000,1000010,1011110,1110100	True
7	2	0010100,0111010,1001100,1100110,1110001,1111110	True
7	2	0001111,0010000,0011010,1010000,1011101,1101100	True
7	2	0000100,0001000,0100100,1001101,1010101,1011100	True
7	2	0010110,0111101,1011011,1100110,1111000,1111010	True
7	2	0000000,0011011,1000110,1011011,1100011,1110100	True
7	2	0001010,0111111,1000110,1100110,1101100,1111100	True
7	2	0001101,0011110,1001011,1011011,1011101,1111000	True
8	2	00000011,00010110,01101110,01110010,10011011,11011000	True
8	2	00011010,00101111,01010100,01101010,01110001,10110110	True
8	2	01001011,01100100,10000100,10100011,11000001,11111111	True
8	2	00000010,01010101,01011100,01111011,11001101,11010110	True
8	2	01101100,01110000,01111001,01111110,10100011,11100101	True
8	2	00010101,01111111,10011001,10101101,10111010,11011100	True
8	2	00010110,00111000,01100010,10000001,10001110,10101011	True
8	2	01000111,01010010,01100001,10101011,10110111,11011011	True
8	2	00011111,00111011,10000011,10011000,10101100,11001001	True
8	2	00101100,00110110,01010101,10010100,10101111,11000100	True
8	2	00011100,00110100,01111111,10010110,10111000,11110100	True
8	2	00001010,00011101,01000111,01111100,11011101,11101101	True
8	2	01000100,10011000,11001001,11011111,11110000,11111101	True
8	2	00000100,01101110,01111000,10100010,10111111,11010110	True
8	2	00100011,00101000,10000010,10001101,10111001,11100000	True
8	2	00100111,01001111,01100010,01101000,10101010,11110100	True
8	2	00100010,00100100,01010001,01111011,10110101,10111000	True
8	2	00011101,00101011,10100111,11101001,11101100,11111111	True
8	2	00000110,00010001,00101111,01001001,01111100,10100101	True
8	2	00010111,00011001,00100101,01100000,10000010,11010101	True
8	2	00000011,01101011,10001100,10011010,10101000,11000001	True
8	2	01101001,10000100,10011101,10101110,10111001,11001010	True
8	2	00001011,00111010,01101111,10011111,10101100,11101010	True
8	2	00011110,01010101,01101011,10001111,11011000,11100010	True
8	2	00111001,01000001,10100001,11011100,11110111,11111010	True
8	2	00001010,00011011,00110110,01011110,01100101,01111010	True
8	2	00001000,00010101,01010010,10000001,10110010,11011101	True
8	2	00011001,00110011,01101000,10001011,10110000,11011000	True
8	2	01000110,01010011,01010101,01011000,01110010,11100001	True
8	2	00001011,00011010,00111111,01110011,10010011,10101010	True
8	2	00001110,00010001,00100101,10000000,10001101,10111100	True
8	2	00000000,01001100,01011011,01011101,01100111,10101001	True
8	2	00111011,01111100,10001100,10110001,11011010,11101100	True
8	2	00010011,01001010,01010001,10000110,10011001,11010010	True
8	2	00101000,01001101,01110011,11011011,11101111,11110000	True
8	2	00000110,00110000,01001100,10000001,10011110,10101111	True
8	2	01001000,10000001,10011010,10100100,10111000,11101011	True
8	2	00000000,00111110,10010010,11001110,11011011,11101000	True
8	2	00110011,00111000,01010101,01111010,10011101,11010000	True
8	2	01101110,10001110,11001101,11010011,11101010,11111100	True
8	2	00111100,01101011,01111010,10110001,10110111,11101000	True
8	2	00101110,00110100,01000000,10000111,10111000,11001110	True
8	2	00000111,00101100,01001001,01111010,10000110,11100111	True
8	2	00010111,00101000,01001111,01011000,01111100,11110010	True
8	2	00110010,01010101,10001100,10100101,11010110,11100000	True
8	2	00001100,00110001,10100111,10111010,11000000,11010110	True
8	2	00000010,00001111,00100011,10011001,10100110,11010011	True
8	2	00110111,01111101,10010101,10100101,10110100,11010111	True
8	2	00100110,01011110,10010011,10011100,10111111,11100010	True
8	2	00000000,00010100,01010000,01011011,01100101,01100110	True
3	2	010,100,110	True
3	2	000,010,011	True
3	2	001,010,100	True
3	2	100,101,111	True
3	2	001,100,101	True
3	2	011,101,110	True
3	2	010,100,110	True
3	2	001,010,111	True
3	2	011,110,111	True
3	2	010,100,110	True
3	2	000,010,110	True
3	2	100,101,110	True
3	2	000,001,101	True
3	2	000,001,011	True
3	2	100,101,111	True
3	2	011,101,110	True
3	2	011,110,111	True
3	2	000,001,100	True
3	2	001,101,111	True
3	2	101,110,111	True
3	2	000,100,101	True
3	2	100,101,111	True
3	2	001,010,100	True
3	2	000,100,110	True
3	2	000,101,110	True
3	2	001,100,111	True
3	2	010,110,111	True
3	2	000,100,110	True
3	2	001,010,100	True
3	2	011,101,110	True
4	2	0000,0001,0010,0111	True
4	2	0001,0010,0011,0101	True
4	2	0011,1000,1001,1011	True
4	2	0001,1001,1010,1011	True
4	2	0010,0101,0110,0111	True
4	2	0000,0001,1011,1100	True
4	2	0001,0011,0110,0111	True
4	2	0110,0111,1011,1101	True
4	2	0010,0101,0110,0111	True
4	2	0001,0010,0101,0111	True
4	2	0000,0101,1000,1100	True
4	2	0001,0111,1001,1010	True
4	2	0100,0101,0110,1111	True
4	2	0010,0101,1000,1001	True
4	2	0001,0101,1001,1111	True
4	2	0010,1011,1110,1111	True
4	2	0100,1000,1110,1111	True
4	2	0011,1001,1101,1110	True
4	2	0010,0110,0111,1110	True
4	2	0101,1001,1110,1111	True
4	2	0101,0111,1011,1111	True
4	2	0011,0110,0111,1111	True
4	2	0011,0101,0110,1101	True
4	2	0011,0111,1010,1101	True
4	2	0001,0100,1000,1001	True
4	2	0000,0010,0110,1110	True
4	2	0000,0001,0101,1001	True
4	2	0001,0101,1100,1111	True
4	2	0000,0001,0010,0101	True
4	2	0101,0110,1101,1111	True
4	2	0011,0101,1000,1101	True
4	2	0101,0111,1101,1110	True
4	2	0000,0110,1000,1100	True
4	2	0010,0011,0101,1001	True
4	2	0100,1001,1010,1101	True
4	2	0010,0011,1000,1111	True
4	2	0001,0100,1001,1010	True
4	2	1000,1010,1011,1110	True
4	2	0001,0101,1000,1111	True
4	2	0010,0011,0111,1011	True
4	2	0010,1000,1100,1111	True
4	2	0010,0100,1100,1110	True
4	2	0001,0010,1010,1100	True
4	2	0010,0110,1110,1111	True
4	2	0001,0011,0100,1000	True
4	2	0000,0111,1101,1110	True
4	2	0000,0011,1000,1010	True
4	2	0000,1000,1001,1011	True
4	2	1001,1010,1110,1111	True
4	2	0001,0010,0011,1010	True
5	2	00001,01011,01100,11101	True
5	2	00110,10000,10011,10101	True
5	2	01011,10010,11000,11111	True
5	2	00010,00101,01001,01111	True
5	2	10100,11000,11101,11110	True
5	2	00001,00010,01011,10011	True
5	2	01011,01101,10001,11000	True
5	2	00011,00100,01000,01101	True
5	2	00111,10001,11011,11101	True
5	2	01000,10000,11011,11101	True
5	2	00101,01100,01111,11101	True
5	2	00101,01000,10100,11101	True
5	2	00000,00111,01101,01110	True
5	2	00010,01100,01111,10110	True
5	2	01001,01010,10000,11100	True
5	2	00100,01101,10001,11100	True
5	2	01110,10010,10111,11100	True
5	2	00101,01000,10001,10100	True
5	2	10010,10100,10111,11110	True
5	2	00111,01011,01100,11110	True
5	2	00001,01111,10111,11101	True
5	2	00011,01001,11010,11111	True
5	2	00100,01010,01101,11110	True
5	2	00010,00111,10001,11011	True
5	2	00100,10000,10101,11100	True
5	2	00010,01001,10000,10011	True
5	2	00101,10000,10011,10110	True
5	2	00010,01011,01110,11010	True
5	2	00010,10000,10011,11010	True
5	2	00011,01001,10000,10101	True
5	2	01000,01011,01101,11001	True
5	2	00011,00110,01010,01101	True
5	2	00010,01110,10100,10111	True
5	2	01010,01111,10011,11001	True
5	2	00010,01000,01011,01110	True
5	2	00010,01000,01111,11011	True
5	2	01001,10001,11000,11101	True
5	2	10001,10110,11000,11011	True
5	2	00011,00101,00110,10111	True
5	2	01011,10010,11001,11110	True
5	2	00101,01000,11001,11100	True
5	2	00001,01000,01011,11001	True
5	2	00011,01111,11001,11010	True
5	2	00011,00110,01000,10000	True
5	2	00100,01010,01101,11110	True
5	2	01011,01110,11000,11111	True
5	2	00000,00111,01011,10001	True
5	2	01000,01011,10010,11001	True
5	2	00000,00011,00110,10010	True
5	2	00011,00101,01111,11001	True
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000000110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000000111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000001111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000010111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000011111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000100111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000101111	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110000	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110001	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110010	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110011	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110100	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110101	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110110	False
9	2	000000000,000000001,000000010,000000011,000000100,000000101,000110111	False
4	4	0210,3012,1010,0100,3030,0120,0211,3013	True
4	4	2122,1131,1102,0002,0202,2112,2120,1133	True
4	4	2212,2220,2112,0032,0002,1012,2211,2223	True
4	4	0000,3202,3110,0030,3120,1000,0003,3201	True
4	4	2012,0021,3112,0032,3212,3102,2013,0020	True
4	4	0212,0231,0002,1322,0022,2322,0213,0230	True
4	4	1011,0022,0031,1001,2131,2331,1010,0023	True
4	4	3032,2020,2012,0212,3002,0112,3031,2023	True
4	4	1301,1312,0021,3321,0131,0121,1300,1313	True
4	4	2312,2331,0222,0122,1322,1302,2310,2333	True
4	4	1033,0032,3333,3203,3313,3223,1030,0031	True
4	4	2123,0121,1023,0133,1213,1203,2120,0122	True
4	4	3313,0010,2323,0213,3303,2333,3312,0011	True
4	4	0101,3212,0021,0011,0131,2211,0100,3213	True
4	4	0113,2200,3203,0323,0133,0303,0112,2201	True
4	4	0202,1113,3102,0232,0002,1122,0200,1111	True
4	4	0110,1201,0010,1230,3220,3210,0113,1202	True
4	4	1012,3301,0022,3322,3122,1032,1010,3303	True
4	4	2100,2201,2230,0010,0020,3000,2103,2202	True
4	4	0133,1210,0123,0003,2203,1203,0132,1211	True
4	4	0011,3303,0131,2311,3311,0121,0012,3300	True
4	4	2020,1103,1110,1300,2030,0000,2022,1101	True
4	4	0330,1101,1120,2100,0000,0310,0333,1102	True
4	4	0022,1311,1322,1132,3022,1102,0023,1310	True
4	4	0112,0331,0322,1232,0102,3232,0113,0330	True
4	4	3123,0330,3103,0313,0013,2113,3121,0332	True
4	4	1003,1022,2213,0013,2313,2233,1000,1021	True
4	4	1111,0022,0311,0031,3111,1101,1113,0020	True
4	4	0312,0111,2032,1012,0302,2022,0310,0113	True
4	4	2230,0112,0100,1220,1230,0330,2233,0111	True
4	4	3112,0220,0012,2132,0212,2102,3113,0221	True
4	4	0311,0020,1231,2221,0301,1221,0312,0023	True
4	4	0321,0312,3211,0001,0031,1211,0323,0310	True
4	4	3002,3010,0322,0332,2012,0112,3001,3013	True
4	4	0011,3002,1301,3031,1201,0021,0010,3003	True
4	4	0133,3132,1033,1223,1003,1213,0130,3131	True
4	4	0103,3300,1333,1323,0203,0113,0102,3301	True
4	4	3331,1303,1321,3311,0021,0221,3330,1302	True
4	4	0020,3022,1100,1220,1130,3010,0023,3021	True
4	4	2013,0021,0003,2033,3333,3133,2010,0022	True
4	4	2122,2103,2322,0022,3012,3032,2121,2100	True
4	4	3003,2311,2323,0033,2233,3033,3000,2312	True
4	4	2032,1321,1212,1202,2022,0022,2030,1323	True
4	4	1112,0000,2012,0032,1212,1122,1111,0003	True
4	4	0133,3001,0123,3013,0333,1033,0132,3000	True
4	4	0013,2220,0333,3233,2233,0003,0011,2222	True
4	4	2033,0202,1003,0103,2023,1013,2031,0200	True
4	4	0100,0121,2300,0230,0210,3300,0102,0123	True
4	4	3233,0011,0023,2003,2033,3333,3232,0010	True
4	4	0002,2321,0132,0012,1332,2332,0000,2323	True
4	4	0000,0001,0002,0003,0010,0011,0012,0013	False
4	4	0000,0001,0002,0003,0010,0011,0012,0020	False
4	4	0000,0001,0002,0003,0010,0011,0012,0021	False
4	4	0000,0001,0002,0003,0010,0011,0012,0022	False
4	4	0000,0001,0002,0003,0010,0011,0012,0023	False
4	4	0000,0001,0002,0003,0010,0011,0012,0030	False
4	4	0000,0001,0002,0003,0010,0011,0012,0031	False
4	4	0000,0001,0002,0003,0010,0011,0012,0032	False
4	4	0000,0001,0002,0003,0010,0011,0012,0033	False
4	4	0000,0001,0002,0003,0010,0011,0012,0100	False
4	4	0000,0001,0002,0003,0010,0011,0012,0101	False
4	4	0000,0001,0002,0003,0010,0011,0012,0102	False
4	4	0000,0001,0002,0003,0010,0011,0012,0103	False
4	4	0000,0001,0002,0003,0010,0011,0012,0110	False
4	4	0000,0001,0002,0003,0010,0011,0012,0111	False
4	4	0000,0001,0002,0003,0010,0011,0012,0112	False
4	4	0000,0001,0002,0003,0010,0011,0012,0113	False
4	4	0000,0001,0002,0003,0010,0011,0012,0120	False
4	4	0000,0001,0002,0003,0010,0011,0012,0121	False
4	4	0000,0001,0002,0003,0010,0011,0012,0122	False
4	4	0000,0001,0002,0003,0010,0011,0012,0123	False
4	4	0000,0001,0002,0003,0010,0011,0012,0130	False
4	4	0000,0001,0002,0003,0010,0011,0012,0131	False
4	4	0000,0001,0002,0003,0010,0011,0012,0132	False
